County,Sub_County,Total,Male,Female,Intersex,SQ.Km,Pop_density,
Murang'a,ABERDARE FOREST,43,31,12,0,295,..
Kiambu,GATUNDU NORTH,109870,54189,55678,3,286,384
Kiambu,GATUNDU SOUTH,122103,60384,61714,5,194,631
Kiambu,GITHUNGURI,165232,82037,83187,8,174,948
Kiambu,JUJA,300948,148446,152480,22,342,880
Kiambu,KABETE,199653,97794,101845,14,61,3289
Kiambu,KIAMBAA,236400,115690,120695,15,91,2595
Kiambu,KIAMBU,145903,69661,76225,17,98,1483
Kiambu,KIKUYU,187122,90919,96198,5,173,1082
Kiambu,LARI,135303,67061,68238,4,432,313
Kiambu,LIMURU,159314,79632,79682,0,285,559
Kiambu,RUIRU,371111,180947,190144,20,201,1846
Kiambu,THIKA EAST,38956,19688,19264,4,110,354
Kiambu,THIKA WEST,245820,120698,125104,18,91,2689
Turkana,KIBISH,36769,18651,18117,1,10466,4
Turkana,LOIMA,107795,54341,53453,1,9120,12
Turkana,TURKANA  CENTRAL,185305,93145,92160,0,6415,29
Turkana,TURKANA EAST,138526,76871,61643,12,11396,12
Turkana,TURKANA NORTH,65218,32810,32408,0,7012,9
Turkana,TURKANA SOUTH,153736,78402,75329,5,7045,22
Turkana,TURKANA WEST,239627,123867,115758,2,16779,14
West Pokot,KIPKOMO,102633,50923,51703,7,766,134
West Pokot,POKOT CENTRAL,119016,59682,59331,3,2055,58
West Pokot,POKOT NORTH,134485,64780,69702,3,3911,34
West Pokot,POKOT SOUTH,80661,39808,40851,2,537,150
West Pokot,WEST POKOT,184446,91820,92626,0,1855,99
Samburu,SAMBURU  CENTRAL,164942,83633,81307,2,3699,45
Samburu,SAMBURU EAST,77994,38211,39782,1,10016,8
Samburu,SAMBURU NORTH,67391,34930,32457,4,7375,9
Trans Nzoia,TRANS NZOIA WEST,202377,101198,101174,5,355,569
Trans Nzoia,TRANS NZOIA EAST,229538,113498,116029,11,629,365
Trans Nzoia,KWANZA,203821,100234,103584,3,465,438
Trans Nzoia,ENDEBESS,111782,56090,55689,3,678,165
Trans Nzoia,KIMININI,242823,118087,124730,6,367,662
Uasin Gishu,AINABKOI,138184,68348,69835,1,483,286
Uasin Gishu,KAPSERET,198499,99650,98845,4,299,663
Uasin Gishu,KESSES,148798,74301,74493,4,748,199
Uasin Gishu,MOIBEN,181338,90309,91027,2,770,236
Uasin Gishu,SOY,229094,114082,115007,5,668,343
Uasin Gishu,TURBO,267273,133579,133682,12,431,620
Elgeyo Marakwet,KEIYO NORTH,99176,49601,49574,1,543,183
Elgeyo Marakwet,KEIYO SOUTH,120750,60919,59827,4,898,134
Elgeyo Marakwet,MARAKWET EAST,97041,47849,49190,2,853,114
Elgeyo Marakwet,MARAKWET WEST,137513,68948,68560,5,738,186
Nandi,CHESUMEI,164133,80949,83180,4,475,346
Nandi,NANDI CENTRAL,147553,73291,74255,7,362,407
Nandi,NANDI EAST,119173,59899,59271,3,392,304
Nandi,NANDI NORTH,166171,82512,83656,3,606,274
Nandi,NANDI SOUTH,172750,85718,87029,3,457,378
Nandi,TINDERET,115931,58890,57039,2,557,208
Baringo,BARINGO CENTRAL,96951,48120,48829,2,786,123
Baringo,BARINGO NORTH,104871,52369,52500,2,1629,64
Baringo,EAST POKOT,79923,40462,39459,2,2500,32
Baringo,KOIBATEK,129535,65295,64238,2,939,138
Baringo,MARIGAT,90955,45706,45246,3,1405,65
Baringo,MOGOTIO,91104,46014,45088,2,1375,66
Baringo,TIATY EAST,73424,38356,35068,0,2163,34
Laikipia,LAIKIPIA CENTRAL,95594,47888,47705,1,1233,78
Laikipia,LAIKIPIA EAST,102815,52078,50732,5,1539,67
Laikipia,LAIKIPIA NORTH,36184,18067,18116,1,2550,14
Laikipia,LAIKIPIA WEST,129263,65158,64102,3,3372,38
Laikipia,NYAHURURU,154704,76249,78447,8,813,190
Nakuru,GILGIL,185209,92955,92247,7,1075,172
Nakuru,KURESOI NORTH,175074,87472,87599,3,618,283
Nakuru,KURESOI SOUTH,155324,78204,77117,3,591,263
Nakuru,MOLO,156732,78129,78598,5,483,324
Nakuru,NAIVASHA,355383,179222,176132,29,1958,181
Nakuru,NAKURU EAST,193926,92956,100960,10,231,840
Nakuru,NAKURU NORTH,218050,106155,111880,15,387,563
Nakuru,NAKURU WEST,198661,101797,96854,10,72,2764
Nakuru,NJORO,238773,118361,120408,4,699,341
Nakuru,RONGAI,199906,99976,99922,8,988,202
Nakuru,SUBUKIA,85164,42045,43118,1,402,212
Narok,NAROK EAST,115323,58699,56617,7,2042,56
Narok,NAROK NORTH,251862,128024,123829,9,2159,117
Narok,NAROK SOUTH,238472,118441,120029,2,4577,52
Narok,NAROK WEST,195287,97085,98198,4,5563,35
Narok,TRANS MARA EAST,111183,54545,56637,1,310,359
Narok,TRANS MARA WEST,245714,122220,123491,3,2546,97
Narok,MAU FOREST,32,28,4,0,734,..
Kajiado,ISINYA,210473,105607,104860,6,1072,196
Kajiado,KAJIADO CENTRAL,161862,81514,80343,5,4239,38
Kajiado,KAJIADO NORTH,306596,150675,155908,13,111,2773
Kajiado,KAJIADO WEST,182849,91607,91237,5,7862,23
Kajiado,LOITOKITOK,191846,94613,97225,8,6337,30
Kajiado,MASHUURU,64214,33082,31131,1,2251,29
Kericho,BELGUT,145072,72508,72564,0,264,549
Kericho,BURETI,199470,98823,100642,5,321,622
Kericho,KERICHO EAST,170625,86671,83947,7,241,709
Kericho,KIPKELION,122530,61066,61460,4,350,350
